Asset ID,Confidentiality,Integrity,Availability,Risk Index,Risk Level
A1,0.9,0.9,0.6,0.8,High
A2,0.9,0.9,0.6,0.79,High
A3,0.7,0.5,0.5,0.54,Medium
A4,0.9,1.0,0.6,0.77,High
A5,0.9,1.0,0.6,0.7,High
A6,0.7,0.9,0.5,0.54,Medium
A7,0.9,1.0,0.8,0.85,High
A8,0.8,1.0,0.5,0.61,Medium
A9,0.8,1.0,0.7,0.74,High
A10,0.6,0.7,0.5,0.44,Medium
A11,0.6,1.0,0.6,0.6,Medium
A12,0.8,0.7,0.5,0.54,Medium
A13,0.7,0.6,0.5,0.5,Medium
A14,0.9,1.0,0.5,0.72,High
A15,0.6,0.8,0.5,0.47,Medium
A16,0.9,0.4,0.5,0.62,Medium
A17,0.5,0.6,0.5,0.38,Low
A18,0.8,0.8,0.5,0.55,Medium
A19,0.7,0.5,0.5,0.42,Medium
A20,0.9,1.0,0.8,0.83,High
A21,0.9,0.9,0.8,0.82,High
A22,0.6,0.4,0.5,0.38,Low
A23,0.8,1.0,0.6,0.72,High
A24,0.7,0.8,0.5,0.59,Medium
A25,0.8,0.9,0.5,0.58,Medium
A26,0.7,0.4,0.5,0.41,Medium
A27,0.9,0.5,0.5,0.63,Medium
A28,0.9,0.8,0.5,0.78,High
A29,0.9,1.0,0.7,0.82,High
A30,0.9,0.4,0.5,0.54,Medium
A31,0.8,1.0,0.6,0.7,High
A32,0.9,0.4,0.5,0.47,Medium
A33,0.9,0.4,0.5,0.8,High
A34,0.6,0.4,0.5,0.43,Medium
A35,0.8,0.4,0.5,0.51,Medium
A36,0.9,1.0,0.7,0.74,High
A37,0.8,0.6,0.6,0.66,Medium
A38,0.8,0.9,0.6,0.59,Medium
A39,0.9,0.9,0.5,0.84,High
A40,0.7,0.9,0.5,0.48,Medium
A41,0.9,1.0,0.7,0.82,High
A42,0.9,0.6,0.6,0.81,High
A43,0.9,0.7,0.5,0.64,Medium
A44,0.9,1.0,0.5,0.65,Medium
A45,0.8,0.8,0.5,0.55,Medium
A46,0.9,1.0,0.9,0.85,High
A47,0.6,0.6,0.5,0.46,Medium
A48,0.9,1.0,0.7,0.78,High
